# Hugo Symbol	Entrez Gene ID	# of occurrence within resources	MSK-IMPACT	MSK-HEME	FOUNDATION ONE	FOUNDATION ONE HEME	Vogelstein	SANGER CGC(05/30/2017)
NUP214	8021	2	0	0	0	1	0	1
MLLT10	8028	2	0	0	0	1	0	1
CCDC6	8030	1	0	0	0	0	0	1
NCOA4	8031	1	0	0	0	0	0	1
SHOC2	8036	1	1	0	0	0	0	0
FGF23	8074	2	0	0	1	1	0	0
KMT2D	8085	5	1	1	1	0	1	1
HMGA2	8091	2	0	0	0	1	0	1
TCL1A	8115	2	0	0	0	1	0	1
TAF15	8148	2	0	0	0	1	0	1
ELL	8178	2	0	0	0	1	0	1
NCOA3	8202	1	1	0	0	0	0	0
LZTR1	8216	2	0	0	1	0	0	1
CLTCL1	8218	2	0	0	0	1	0	1
ZRSR2	8233	4	1	1	0	1	0	1
RBM10	8241	3	1	0	1	0	0	1
KDM5C	8242	6	1	1	1	1	1	1
SMC1A	8243	2	0	1	0	1	0	0
ARID1A	8289	6	1	1	1	1	1	1
HIST3H3	8290	1	1	0	0	0	0	0
HIST1H4I	8294	2	0	0	0	1	0	1
TRRAP	8295	1	0	0	0	0	0	1
PICALM	8301	2	0	0	0	1	0	1
AXIN1	8312	6	1	1	1	1	1	1
AXIN2	8313	2	1	0	0	0	0	1
BAP1	8314	6	1	1	1	1	1	1
HIST1H2AL	8332	2	0	1	0	1	0	0
HIST1H2AC	8334	2	0	1	0	1	0	0
HIST1H2AM	8336	2	0	1	0	1	0	0
HIST1H2BG	8339	1	0	1	0	0	0	0
HIST1H2BC	8347	2	0	1	0	1	0	0
HIST1H2BO	8348	2	0	1	0	1	0	0
HIST1H3A	8350	1	1	0	0	0	0	0
HIST1H3D	8351	1	1	0	0	0	0	0
HIST1H3C	8352	1	1	0	0	0	0	0
HIST1H3E	8353	1	1	0	0	0	0	0
HIST1H3I	8354	1	1	0	0	0	0	0
HIST1H3G	8355	2	1	1	0	0	0	0
HIST1H3J	8356	1	1	0	0	0	0	0
HIST1H3H	8357	1	1	0	0	0	0	0
HIST1H3B	8358	5	1	1	0	1	1	1
SPOP	8405	6	1	1	1	1	1	1
RAD54L	8438	2	1	1	0	0	0	0
CUL3	8452	2	1	0	1	0	0	0
PPM1D	8493	2	1	0	0	0	0	1
PPFIBP1	8496	1	0	0	0	0	0	1
PIK3R3	8503	1	1	0	0	0	0	0
GAS7	8522	2	0	0	0	1	0	1
ASMTL	8623	1	0	0	0	1	0	0
TP63	8626	4	1	1	0	1	0	1
NCOA1	8648	1	0	0	0	0	0	1
SOCS1	8651	6	1	1	1	1	1	1
IRS2	8660	4	1	1	1	1	0	0
EED	8726	3	1	1	0	1	0	0
TNFRSF14	8764	5	1	1	1	1	0	1
TNFRSF11A	8792	1	0	0	0	1	0	0
TRIM24	8805	2	0	0	0	1	0	1
INPP4B	8821	4	1	1	1	1	0	0
GMPS	8833	2	0	0	0	1	0	1
SOCS2	8835	1	0	0	0	1	0	0
WISP3	8838	2	0	0	1	1	0	0
STK19	8859	1	1	0	0	0	0	0
FUBP1	8880	4	1	0	1	0	1	1
BCL10	8915	4	1	1	0	1	0	1
PHOX2B	8929	2	1	0	0	0	0	1
HIST1H3F	8968	1	1	0	0	0	0	0
HIST1H2AG	8969	2	0	1	0	1	0	0
HIST1H2BJ	8970	2	0	1	0	1	0	0
MGAM	8972	1	0	1	0	0	0	0
RPS6KA4	8986	1	1	0	0	0	0	0
MAP3K14	9020	3	1	1	0	1	0	0
SOCS3	9021	1	0	0	0	1	0	0
MAP3K6	9064	1	0	0	0	1	0	0
USP6	9098	2	0	0	0	1	0	1
USP8	9101	1	0	0	0	0	0	1
LATS1	9113	1	1	0	0	0	0	0
SMC3	9126	2	0	1	0	1	0	0
RABEP1	9135	2	0	0	0	1	0	1
PCSK7	9159	2	0	0	0	1	0	1
MAP3K13	9175	3	1	1	0	0	0	1
ZMYM3	9203	1	0	0	0	1	0	0
AURKB	9212	4	1	1	1	1	0	0
S1PR2	9294	1	0	0	0	1	0	0
KLF4	9314	3	1	0	0	0	1	1
TRIP11	9321	2	0	0	0	1	0	1
SLIT2	9353	1	0	0	1	0	0	0
RECQL4	9401	2	1	0	0	0	0	1
QKI	9444	2	0	0	1	0	0	1
ATG5	9474	1	0	0	0	1	0	0
MAGED1	9500	1	0	0	0	1	0	0
APOBEC3B	9582	1	0	0	0	0	0	1
NCOR1	9611	4	1	1	0	0	1	1
NCOR2	9612	3	0	1	0	1	0	1
SNCAIP	9627	1	0	0	1	0	0	0
IKBKE	9641	4	1	1	1	1	0	0
MDC1	9656	1	1	0	0	0	0	0
PDE4DIP	9659	2	0	0	0	1	0	1
NUP93	9688	3	1	0	1	1	0	0
HERPUD1	9709	2	0	0	0	1	0	1
FAM131B	9715	1	0	0	0	0	0	1
SETD1A	9739	1	0	1	0	0	0	0
KMT2B	9757	3	1	1	0	1	0	0
HDAC4	9759	2	0	1	0	1	0	0
KEAP1	9817	5	1	1	1	1	0	1
MAGI2	9863	1	0	0	1	0	0	0
SETDB1	9869	1	0	1	0	0	0	0
SRGAP3	9901	1	0	0	0	0	0	1
MAFB	9935	2	0	0	0	1	0	1
GOLGA5	9950	1	0	0	0	0	0	1
FGF19	9965	4	1	1	1	1	0	0
THRAP3	9967	1	0	0	0	0	0	1
MED12	9968	6	1	1	1	1	1	1
AKT3	10000	4	1	1	1	1	0	0
ABI1	10006	2	0	0	0	1	0	1
BCL2L11	10018	1	1	0	0	0	0	0
SH2B3	10019	3	1	1	0	0	0	1
RAD50	10111	4	1	1	1	1	0	0
ARFRP1	10139	2	0	0	1	1	0	0
AKAP9	10142	1	0	0	0	0	0	1
LHFP	10186	1	0	0	0	0	0	1
OLIG2	10215	1	0	0	0	0	0	1
GPHN	10243	2	0	0	0	1	0	1
FSTL3	10272	2	0	0	0	1	0	1
STAG1	10274	1	0	1	0	0	0	0
IKZF1	10320	5	1	1	1	1	0	1
TFG	10342	2	0	0	0	1	0	1
NOD1	10392	1	0	0	0	1	0	0
NDRG1	10397	2	0	0	0	1	0	1
YAP1	10413	1	1	0	0	0	0	0
HOXB13	10481	1	1	0	0	0	0	0
CARM1	10498	1	1	0	0	0	0	0
NCOA2	10499	2	0	0	0	1	0	1
SLC34A2	10568	1	0	0	0	0	0	1
ARID3B	10620	1	0	1	0	0	0	0
CTCF	10664	5	1	1	1	1	0	1
GNA13	10672	3	0	1	1	1	0	0
CCT6B	10693	1	0	0	0	1	0	0
STAG2	10735	6	1	1	1	1	1	1
PLK2	10769	1	1	0	0	0	0	0
SEPT9	10801	2	0	0	0	1	0	1
FRS2	10818	2	0	0	1	1	0	0
ARID5A	10865	1	0	1	0	0	0	0
MALT1	10892	4	1	1	0	1	0	1
PNRC1	10957	2	1	1	0	0	0	0
MLLT11	10962	1	0	0	0	0	0	1
CLP1	10978	2	0	0	0	1	0	1
RAB35	11021	1	1	0	0	0	0	0
CNTRL	11064	2	0	0	0	1	0	1
FGFR1OP	11116	2	0	0	0	1	0	1
PTPRT	11122	2	1	0	0	0	0	1
FAF1	11124	1	0	0	0	1	0	0
PSIP1	11168	2	0	0	0	1	0	1
WIF1	11197	1	0	0	0	0	0	1
CHEK2	11200	5	1	1	1	1	0	1
SP140	11262	1	0	1	0	0	0	0
U2AF2	11338	2	0	1	0	1	0	0
RRAS2	22800	1	1	0	0	0	0	0
IKZF3	22806	2	0	1	0	1	0	0
IKZF2	22807	1	0	0	0	1	0	0
ICK	22858	1	0	0	0	1	0	0
SEC31A	22872	1	0	0	0	1	0	0
DIS3	22894	2	1	1	0	0	0	0
DUX4L1	22947	1	0	0	0	0	0	1
NT5C2	22978	3	0	1	0	1	0	1
PDCD11	22984	1	0	0	0	1	0	0
SPEN	23013	5	1	1	1	1	0	1
PDS5B	23047	1	0	1	0	0	0	0
FNBP1	23048	2	0	0	0	1	0	1
SMG1	23049	1	0	1	0	0	0	0
SETD1B	23067	1	0	1	0	0	0	0
KDM4C	23081	1	0	0	0	1	0	0
ERC1	23085	1	0	0	0	0	0	1
ARHGAP26	23092	2	0	0	0	1	0	1
CIC	23152	6	1	1	1	1	1	1
SEPT6	23157	2	0	0	0	1	0	1
PASK	23178	1	0	0	0	1	0	0
CAMTA1	23261	2	0	0	0	1	0	1
MGA	23269	2	1	1	0	0	0	0
ACSL6	23305	2	0	0	0	1	0	1
ICOSLG	23308	1	1	0	0	0	0	0
ARHGEF12	23365	2	0	0	0	1	0	1
CRTC1	23373	1	0	0	0	0	0	1
NCSTN	23385	2	0	1	0	1	0	0
DICER1	23405	3	1	0	1	0	0	1
RYBP	23429	1	1	0	0	0	0	0
SF3B1	23451	6	1	1	1	1	1	1
HEY1	23462	2	0	0	0	1	0	1
BRD4	23476	5	1	1	1	1	0	1
SUZ12	23512	4	1	1	0	1	0	1
KAT6B	23522	1	0	0	0	0	0	1
PATZ1	23598	1	0	0	0	0	0	1
CBLC	23624	1	0	0	0	0	0	1
POT1	25913	3	0	1	0	1	0	1
ZNF521	25925	2	0	0	0	1	0	1
WWTR1	25937	2	1	0	0	0	0	1
SAMHD1	25939	1	0	1	0	0	0	0
ADGRA2	25960	2	0	0	1	1	0	0
SS18L1	26039	1	0	0	0	0	0	1
SETBP1	26040	4	0	1	0	1	1	1
LSM14A	26065	1	0	0	0	0	0	1
CHIC2	26511	2	0	0	0	1	0	1
LATS2	26524	1	1	0	0	0	0	0
GREM1	26585	1	1	0	0	0	0	0
TCL6	27004	1	0	0	0	0	0	1
SND1	27044	1	0	0	0	0	0	1
FOXP1	27086	5	1	1	1	1	0	1
BBC3	27113	1	1	0	0	0	0	0
AFF4	27125	2	0	0	0	1	0	1
AGO2	27161	1	1	0	0	0	0	0
SESN1	27244	1	1	0	0	0	0	0
EML4	27436	2	0	0	0	1	0	1
PCLO	27445	1	0	0	0	1	0	0
SETD2	29072	6	1	1	1	1	1	1
BABAM1	29086	1	1	0	0	0	0	0
DROSHA	29102	2	1	0	0	0	0	1
ANKRD11	29123	1	1	0	0	0	0	0
CD274	29126	5	1	1	1	1	0	1
TFPT	29844	2	0	0	0	1	0	1
TLX3	30012	2	0	0	0	1	0	1
IL21R	50615	2	0	0	0	1	0	1
IGK	50802	2	0	0	0	1	0	1
APH1A	51107	1	0	0	0	1	0	0
SBDS	51119	1	0	0	0	0	0	1
EGFL7	51162	1	1	0	0	0	0	0
LEF1	51176	2	0	0	0	1	0	1
CRBN	51185	1	0	1	0	0	0	0
NIN	51199	2	0	0	0	1	0	1
UBR5	51366	2	0	1	0	0	0	1
GTSE1	51512	1	0	0	0	1	0	0
NCKIPSD	51517	1	0	0	0	0	0	1
HDAC7	51564	2	0	1	0	1	0	0
TRIM33	51592	1	0	0	0	0	0	1
YPEL5	51646	1	0	0	0	1	0	0
SUFU	51684	5	1	1	1	1	0	1
ARID4B	51742	1	0	1	0	0	0	0
RTEL1	51750	2	1	1	0	0	0	0
CDK12	51755	5	1	1	1	1	0	1
BCL11A	53335	2	0	0	0	1	0	1
LRP1B	53353	3	0	0	1	1	0	1
SETD4	54093	1	0	1	0	0	0	0
DCUN1D1	54165	1	1	0	0	0	0	0
ERRFI1	54206	2	1	0	1	0	0	0
FEV	54738	2	0	0	0	1	0	1
TET2	54790	6	1	1	1	1	1	1
FAM46C	54855	5	1	1	1	1	0	1
BCOR	54880	6	1	1	1	1	1	1
RNF43	54894	6	1	1	1	1	1	1
WHSC1L1	54904	3	1	0	0	1	0	1
SDHAF2	54949	2	1	0	0	0	0	1
FANCL	55120	2	0	0	1	1	0	0
SHQ1	55164	1	1	0	0	0	0	0
PBRM1	55193	6	1	1	1	1	1	1
SETD5	55209	1	0	1	0	0	0	0
YY1AP1	55249	1	0	0	0	1	0	0
ELP2	55250	1	0	0	0	1	0	0
ASXL2	55252	2	1	1	0	0	0	0
FBXW7	55294	6	1	1	1	1	1	1
ZNF331	55422	1	0	0	0	0	0	1
ETNK1	55500	2	0	1	0	0	0	1
ZCCHC8	55596	1	0	0	0	0	0	1
TMEM127	55654	2	1	0	0	0	0	1
TMEM30A	55754	1	0	0	0	1	0	0
PAG1	55824	1	0	0	0	1	0	0
PAK6	56924	0	0	0	0	0	0	0
DUSP22	56940	2	0	1	0	1	0	0
EMSY	56946	1	0	0	1	0	0	0
ACKR3	57007	1	0	0	0	0	0	1
CASC5	57082	1	0	0	0	0	0	1
CYSLTR2	57105	1	1	0	0	0	0	0
GOPC	57120	1	0	0	0	0	0	1
PAK5	57144	2	1	1	0	0	0	0
SALL4	57167	1	0	0	0	0	0	1
ARID1B	57492	5	1	1	1	0	1	1
RPTOR	57521	4	1	1	1	1	0	0
MIB1	57534	1	0	0	0	1	0	0
MKL1	57591	2	0	0	0	1	0	1
ZBTB2	57621	1	0	0	1	0	0	0
EP400	57634	1	0	1	0	0	0	0
KIAA1549	57670	1	0	0	0	0	0	1
RNF213	57674	2	0	0	0	1	0	1
SHTN1	57698	1	0	0	0	0	0	1
CCNB1IP1	57820	1	0	0	0	0	0	1
KMT2C	58508	6	1	1	1	1	1	1
BACH2	60468	1	0	1	0	0	0	0
BCORL1	63035	4	0	1	1	1	0	1
PRDM16	63976	2	0	0	0	1	0	1
PRDM14	63978	1	1	0	0	0	0	0
CRLF2	64109	6	1	1	1	1	1	1
RRAGC	64121	2	1	1	0	0	0	0
ARHGEF28	64283	1	0	1	0	0	0	0
SOX17	64321	1	1	0	0	0	0	0
NSD1	64324	5	1	1	1	1	0	1
RFWD2	64326	1	1	0	0	0	0	0
SMYD3	64754	1	1	0	0	0	0	0
CREB3L2	64764	2	0	0	0	1	0	1
RBM15	64783	2	0	0	0	1	0	1
CRTC3	64784	1	0	0	0	0	0	1
RANBP17	64901	1	0	0	0	0	0	1
BCL11B	64919	3	0	1	0	1	0	1
GID4	79018	2	0	0	1	1	0	0
ASPSCR1	79058	1	0	0	0	0	0	1
MAPKAP1	79109	1	1	0	0	0	0	0
CHCHD7	79145	1	0	0	0	0	0	1
CDC73	79577	6	1	1	1	1	1	1
FAT4	79633	1	0	0	0	0	0	1
VTCN1	79679	1	1	0	0	0	0	0
TBL1XR1	79718	3	0	1	0	1	0	1
PALB2	79728	5	1	1	1	1	0	1
FBXO31	79791	1	0	0	0	1	0	0
MOB3B	79817	1	0	1	0	0	0	0
SETD6	79918	1	0	1	0	0	0	0
ZNF703	80139	2	0	0	1	1	0	0
FBXO11	80204	3	0	1	0	1	0	1
PREX2	80243	3	1	0	1	0	0	1
C2ORF44	80304	1	0	0	0	0	0	1
TET1	80312	4	1	1	0	1	0	1
PDCD1LG2	80380	4	1	0	1	1	0	1
CD276	80381	1	1	0	0	0	0	0
SETD7	80854	1	0	1	0	0	0	0
FIP1L1	81608	1	0	0	0	0	0	1
FCRL4	83417	2	0	0	0	1	0	1
NUF2	83540	1	1	0	0	0	0	0
SESN2	83667	1	1	0	0	0	0	0
SETDB2	83852	1	0	1	0	0	0	0
STK40	83931	1	1	0	0	0	0	0
BRIP1	83990	5	1	1	1	1	0	1
FAM175A	84142	1	1	0	0	0	0	0
ARID5B	84159	2	1	1	0	0	0	0
SETD3	84193	1	0	1	0	0	0	0
TRAF7	84231	3	1	0	0	0	1	1
FLYWCH1	84256	1	0	0	0	1	0	0
PHF6	84295	4	0	1	0	1	1	1
HOOK3	84376	1	0	0	0	0	0	1
CARD11	84433	6	1	1	1	1	1	1
MAML2	84441	1	0	0	0	0	0	1
DOT1L	84444	4	1	1	1	1	0	0
BRSK1	84446	1	0	0	0	1	0	0
SLX4	84464	1	1	0	0	0	0	0
KDM2B	84678	1	0	0	0	1	0	0
RSPO3	84870	1	0	0	0	0	0	1
CEP89	84902	1	0	0	0	0	0	1
HIST1H2BK	85236	2	0	1	0	1	0	0
SLC45A3	85414	1	0	0	0	0	0	1
KLHL6	89857	2	0	0	1	1	0	0
KNSTRN	90417	1	1	0	0	0	0	0
CREB3L1	90993	2	0	0	0	1	0	1
FAM58A	92002	1	1	0	0	0	0	0
SNX29	92017	2	0	0	0	1	0	1
SPECC1	92521	1	0	0	0	0	0	1
C12orf9	93669	1	0	0	0	0	0	1
PWWP2A	114825	1	0	0	0	0	0	1
RMI2	116028	1	0	0	0	0	0	1
EXOSC6	118460	1	0	0	0	1	0	0
LRRK2	120892	1	0	0	0	1	0	0
LRIG3	121227	1	0	0	0	0	0	1
MSI2	124540	3	1	0	0	1	0	1
CANT1	124583	1	0	0	0	0	0	1
HIST2H3C	126961	1	1	0	0	0	0	0
ARID3C	138715	1	0	1	0	0	0	0
AMER1	139285	6	1	1	1	1	1	1
VTI1A	143187	1	0	0	0	0	0	1
SESN3	143686	1	1	0	0	0	0	0
C15ORF65	145788	1	0	0	0	0	0	1
TTL	150465	2	0	0	0	1	0	1
BTLA	151888	1	0	0	0	1	0	0
PPP4R2	151987	1	1	0	0	0	0	0
ESCO2	157570	1	0	1	0	0	0	0
SPRED1	161742	1	1	0	0	0	0	0
ZNF384	171017	2	0	0	0	1	0	1
ASXL1	171023	6	1	1	1	1	1	1
ARID2	196528	6	1	1	1	1	1	1
WDR90	197335	1	0	0	0	1	0	0
TET3	200424	1	0	1	0	0	0	0
FLCN	201163	5	1	1	1	1	0	1
MPEG1	219972	1	0	1	0	0	0	0
RASGEF1A	221002	1	0	0	0	1	0	0
JAZF1	221895	2	0	0	0	1	0	1
RICTOR	253260	4	1	1	1	1	0	0
NUTM1	256646	1	0	0	0	0	0	1
NEGR1	257194	1	1	0	0	0	0	0
MDS2	259283	2	0	0	0	1	0	1
BCL9L	283149	1	0	0	0	0	0	1
KSR2	283455	1	0	1	0	0	0	0
HMGN2P46	283651	1	0	0	0	0	0	1
P2RY8	286530	3	0	1	0	1	0	1
HIST2H3A	333932	0	0	0	0	0	0	0
RSPO2	340419	1	0	0	0	0	0	1
ECT2L	345930	2	0	0	0	1	0	1
MALAT1	378938	1	0	0	0	0	0	1
KMT5A	387893	2	1	1	0	0	0	0
SERP2	387923	1	0	0	0	1	0	0
MYO18A	399687	1	0	0	0	1	0	0
H3F3C	440093	1	1	0	0	0	0	0
H3F3AP4	440926	0	0	0	0	0	0	0
HIST2H3D	653604	1	1	0	0	0	0	0
SFPQ	654780	1	0	0	0	0	0	1
NUTM2A	728118	2	0	0	0	1	0	1
NUTM2B	729262	1	0	0	0	0	0	1
TEC	100124696	1	0	0	0	1	0	0
MEF2B	100271849	4	1	1	1	1	0	0
KLF5	688	0	0	0	0	0	0	0
